		名詞	
えむあんどえー	M&A	名詞	略語
えむえーゆー	MAU	名詞	ゲーム制作・経営
えむえむおー	MMO	名詞	ゲーム用語
えむえむおーあーるぴーじー	MMORPG	名詞	ゲーム用語
えむえるおぷす	MLOps	名詞	ウェブ・IT用語
えむおーゔい	MOV	名詞	映像用語
えむけーぶい	MKV	名詞	映像用語
えむぴー	mp	名詞	Unity/C#
えむぴーえー	MPA	名詞	ウェブ・IT用語
えむぴーよん	MP4	名詞	映像用語
えむぶいぴー	MVP	名詞	ウェブ・IT用語
えめらるど	Emerald	名詞	色・素材
えもーしょん	Emotion	名詞	概念・抽象
えもーと	Emote	名詞	ゲーム用語
えら	Era	名詞	時間・季節
えらー	error	名詞	Unity/C#
えらー	Error	名詞	一般IT
えらーばじぇっと	ErrorBudget	名詞	ウェブ・IT用語
えらーめっせーじ	Error Message	名詞	UI/UX
えらすてぃっくさーち	Elasticsearch	名詞	ウェブ・IT用語
えりあ	Area	名詞	一般ビジネス
えりーず	Aries	名詞	天体・宇宙
えりくさー	Elixir	名詞	ゲーム用語
えりにゅえす	Erinyes	名詞	ゲーム用語
えるえるえむ	LLM	名詞	ウェブ・IT用語
えるおーでぃー	LOD	名詞	最適化
えるけー	ELK	名詞	ウェブ・IT用語
えるしーぴー	LCP	名詞	ウェブ・IT用語
えるすくえいく	Earthquake	名詞	気象・自然
えるてぃーぶい	LTV	名詞	ゲーム制作・経営
えれめんたる	Elemental	名詞	ゲーム用語
えんゔぁいろんめんと	Environment	名詞	アート手法
えんかぷすれーしょん	Encapsulation	名詞	ウェブ・IT用語
えんくりぷしょん	Encryption	名詞	IT
えんげーじめんと	Engagement	名詞	ビジネス
えんこーど	Encode	名詞	ウェブ・IT用語
えんさー	Answer	名詞	ビジネス
えんじぇる	Angel	名詞	ゲーム用語
えんじにあ	engineer	名詞	Unity/C#
えんじにあ	Engineer	名詞	一般ビジネス
えんじょい	Enjoy	名詞	一般ビジネス
えんじん	engine	名詞	Unity/C#
えんじん	Engine	名詞	機械・軍事
えんちーと	Anti-Cheat	名詞	QA・デバッグ
えんちゃんと	Enchant	名詞	ゲーム用語
えんでぃあん	Endian	名詞	ウェブ・IT用語
えんてぃてぃ	Entity	名詞	一般IT
えんでぃんぐ	ending	名詞	Unity/C#
えんでぃんぐ	Ending	名詞	ゲーム用語
えんどこんてんつ	Endgame Content	名詞	ゲーム用語
えんどぽいんと	Endpoint	名詞	ウェブ・IT用語
えんどぽいんとせきゅりてぃ	EDR	名詞	ウェブ・IT用語
えんどゆーざー	End User	名詞	IT
えんとりー	Entry	名詞	一般ビジネス
えんどるふぃん	Endorphin	名詞	身体・解剖
えんとろぴー	Entropy	名詞	概念・抽象
えんぱしー	Empathy	名詞	ビジネス
えんぱしーまっぷ	Empathy Map	名詞	UI/UX
えんびー	Envy	名詞	概念・抽象
えんふぁしす	Emphasis	名詞	グラフィック・デザイン
えんぶれむ	Emblem	名詞	抽象・方向
えんへりやる	Einherjar	名詞	ゲーム用語
えんべろーぷ	Envelope	名詞	編集用語
えんぼす	Emboss	名詞	編集用語
えんもーたる	Immortal	名詞	概念・抽象
おあしす	Oasis	名詞	地形・環境
おいたごん	Octagon	名詞	形・幾何学
おーあーるえむ	ORM	名詞	ウェブ・IT用語
おおいやき	Dodge	名詞	編集用語
おーえす	OS	名詞	略語
おーおーす	OAuth	名詞	ウェブ・IT用語
おーが	Ogre	名詞	ゲーム用語
おーがすと	August	名詞	時間・季節
おーがにっく	Organic	名詞	グラフィック・デザイン
おーきっど	Orchid	名詞	植物・生物
おーく	Orc	名詞	ゲーム用語
おーくしょん	Auction	名詞	一般ビジネス
おーけー	OK	名詞	ウェブ・IT用語
おーけすとら	Orchestra	名詞	楽器・音楽
おーけすとれーしょん	Orchestration	名詞	ウェブ・IT用語
おーしゃん	Ocean	名詞	地形・環境
おーせりけーしょん	Authentication	名詞	IT
おーそらいぜーしょん	Authorization	名詞	IT
おーだー	Order	名詞	抽象・方向
おーたむ	Autumn	名詞	時間・季節
おーでぃえんす	Audience	名詞	一般ビジネス
おーでぃお	Audio	名詞	一般IT
おーでぃおくりっぷ	AudioClip	名詞	Unity/C#
おーでぃおそーす	AudioSource	名詞	Unity/C#
おーでぃおとらっく	Audio Track	名詞	映像用語
おーでぃおみきさー	Audio Mixer	名詞	サウンド
おーでぃおりすなー	AudioListener	名詞	Unity/C#
おーでぃん	Odin	名詞	ゲーム用語
おーと	Auto	名詞	一般IT
おーとすけーる	AutoScale	名詞	ウェブ・IT用語
おーとふぉーかす	Auto Focus	名詞	映像用語
おーなー	Owner	名詞	一般ビジネス
おーばー	Over	名詞	一般ビジネス
おーばーえくすぽーじゃー	Overexposure	名詞	映像用語
おーばーひーと	Overheat	名詞	ゲーム用語
おーばーふろー	Overflow	名詞	ウェブ・IT用語
おーばーらいど	override	名詞	Unity/C#
おーばーらいど	Override	名詞	制作・運用
おーばーれい	Overlay	名詞	編集用語
おーばーろーど	Overload	名詞	制作・運用
おーびーじぇー	OBJ	名詞	Unity/C#
おーぷん	Open	名詞	一般ビジネス
おーぷんえーあい	OpenAI	名詞	ウェブ・IT用語
おーぷんそーす	Open Source	名詞	IT
おーぷんべーた	Open Beta	名詞	ゲーム制作・経営
おーぷんわーるど	Open World	名詞	ゲーム用語
おかるーと	Occult	名詞	概念・抽象
おくた	Octa	名詞	数・単位
おくとーばー	October	名詞	時間・季節
おくとぱす	Octopus	名詞	植物・生物
おくるーじょん	Occlusion	名詞	Unity/C#
おくるーじょんかりんぐ	Occlusion Culling	名詞	最適化
おったー	Otter	名詞	植物・生物
おぱしてぃ	Opacity	名詞	色・素材
おぶざーばー	Observer	名詞	ウェブ・IT用語
おぶざーばびりてぃ	Observability	名詞	ウェブ・IT用語
おぶざーばぶる	Observable	名詞	ウェブ・IT用語
おぶじぇくてぃぶ	Objective	名詞	ビジネス
おぶじぇくと	object	名詞	Unity/C#
おぶじぇくと	Object	名詞	一般IT
おぶしでぃあん	Obsidian	名詞	色・素材
おぷしょん	Option	名詞	一般ビジネス
おぶすとらくしょん	Obstruction	名詞	サウンド
おふせっと	Offset	名詞	一般IT
おぷてぃかる	Optical	名詞	アート手法
おぷてぃまいず	Optimize	名詞	IT
おぷてぃみすてぃっくゆーあい	OptimisticUI	名詞	ウェブ・IT用語
おぷてぃみずむ	Optimism	名詞	ビジネス
おふらいん	Offline	名詞	一般IT
おぶりーく	Oblique	名詞	タイポグラフィ
おぺら	Opera	名詞	楽器・音楽
おぺれーしょん	Operation	名詞	一般ビジネス
おぼえ	Oboe	名詞	楽器・音楽
おみくろん	Omicron	名詞	数・単位
おめが	Omega	名詞	数・単位
おらいおん	Orion	名詞	天体・宇宙
おらくる	Oracle	名詞	ゲーム用語
おりーぶ	Olive	名詞	色・素材
おりーぶ	Stream	名詞	地形・環境
おりがの	Oregano	名詞	素材・料理
おりがみ	Origami	名詞	アート手法
おりじなる	Original	名詞	一般ビジネス
おりはるこん	Orichalcum	名詞	色・素材
おるがん	Organ	名詞	楽器・音楽
おるたなてぃぶ	Alternative	名詞	一般ビジネス
おるとぐらふぃっく	Orthographic	名詞	グラフィック・デザイン
おれんじ	Orange	名詞	色・素材
おんえねーぶる	OnEnable	名詞	Unity/C#
おんでぃせーぶる	OnDisable	名詞	Unity/C#
おんですとろい	OnDestroy	名詞	Unity/C#
おんぷれみす	On-premise	名詞	IT
おんぷれみす	OnPremise	名詞	ウェブ・IT用語
おんぼーでぃんぐ	Onboarding	名詞	ビジネス
おんらいん	Online	名詞	一般IT
がーごいる	Gargoyle	名詞	ゲーム用語
かーそる	Cursor	名詞	一般IT
がーでぃあん	Guardian	名詞	ビジネス
かーでぃがん	Cardigan	名詞	ファッション
がーでん	Garden	名詞	建築・構造
かーど	Card	名詞	一般ビジネス
がーど	guard	名詞	Unity/C#
がーど	Guard	名詞	装備部位
かーとりっじ	Cartridge	名詞	機械・軍事
かーにばる	Carnival	名詞	概念・抽象
かーにんぐ	Kerning	名詞	編集用語
がーねっと	Garnet	名詞	色・素材
かーぶ	Curve	名詞	一般IT
がーべーじこれくしょん	GC	名詞	Unity/C#
がーべーじこれくしょん	Garbage Collection	名詞	最適化
かーま	Karma	名詞	概念・抽象
かーまいん	Carmine	名詞	色・素材
がーりっく	Garlic	名詞	素材・料理
がーる	Gale	名詞	気象・自然
かい	Chi	名詞	数・単位
かいぎょうこーど	NewLine	名詞	ウェブ・IT用語
かいぞうど	Resolution	名詞	ウェブ・IT用語
かいてぃんぐ	Lighting	名詞	アート手法
がいど	Guide	名詞	一般ビジネス
がいどらいん	Guideline	名詞	一般ビジネス
がうがん	Gatling	名詞	機械・軍事
がうしあんぶらー	Gaussian Blur	名詞	編集用語
かおす	Chaos	名詞	抽象・方向
かきこみ	write	名詞	Unity/C#
かきん	In-game Purchase	名詞	ゲーム用語
がじぇっと	Gadget	名詞	IT
がしつ	Image Quality	名詞	ゲーム用語
かすたまー	Customer	名詞	一般ビジネス
かすたまーさくせす	Customer Success	名詞	ビジネス
かすたまーじゃーにー	Customer Journey	名詞	ビジネス
かすたむ	Custom	名詞	一般IT
かすたむえでぃたー	CustomEditor	名詞	Unity/C#
がぜる	Gazelle	名詞	植物・生物
かたな	Katana	名詞	ゲーム用語
かたぱると	Catapult	名詞	ゲーム用語
かだもん	Cardamom	名詞	素材・料理
かたろぐ	Catalog	名詞	ビジネス
がちゃ	gacha	名詞	Unity/C#
がちゃ	Gacha	名詞	ゲーム用語
かったー	Cutter	名詞	一般ビジネス
がっつ	Guts	名詞	ビジネス
かっと	Cut	名詞	映像用語
かっとしーん	Cutscene	名詞	ゲーム用語
かっぱ	Kappa	名詞	数・単位
かっぱー	Copper	名詞	色・素材
かていな	Chainmail	名詞	ゲーム用語
かてごり	Category	名詞	一般ビジネス
かなあいでぷろい	CanaryDeploy	名詞	ウェブ・IT用語
かなりあ	Canary	名詞	IT
かばー	Cover	名詞	一般ビジネス
がばなんす	Governance	名詞	ビジネス
かばれっじ	Coverage	名詞	IT
がびじまますく	Garbage Mask	名詞	映像用語
かふか	Kafka	名詞	ウェブ・IT用語
かぷせる	Capsule	名詞	一般IT
かぷせるこらいだー	CapsuleCollider	名詞	Unity/C#
かぷりこーん	Capricorn	名詞	天体・宇宙
がま	Gamma	名詞	色・素材
かみつれ	Chamomile	名詞	素材・料理
がむしゃら	Reckless	名詞	ビジネス
かめら	Camera	名詞	一般IT
かめりあ	Camellia	名詞	植物・生物
がもっと	Gamut	名詞	映像用語
からー	Color	名詞	一般IT
からーかーぶ	Color Curves	名詞	映像用語
からーきー	Color Key	名詞	映像用語
からーぐれーでぃんぐ	ColorGrading	名詞	Unity/C#
からーぐれーでぃんぐ	Color Grading	名詞	映像用語
からーこれくしょん	Color Correction	名詞	映像用語
からーすぺーす	Color Space	名詞	映像用語
からーてんぷらちゃー	Color Temperature	名詞	編集用語
からーばらんす	Color Balance	名詞	編集用語
からーほいーる	Color Wheels	名詞	映像用語
からーほいーる	Color Wheel	名詞	グラフィック・デザイン
がらす	Glass	名詞	色・素材
からむ	Column	名詞	一般IT
かりばーん	Caliburn	名詞	ゲーム用語
かりんぐ	Culling	名詞	Unity/C#
かるーせる	Carousel	名詞	ウェブ・IT用語
がるーだ	Garuda	名詞	ゲーム用語
かるちゃらいぜーしょん	Culturization	名詞	ゲーム制作・経営
かるてっと	Quartet	名詞	楽器・音楽
かれいじ	Courage	名詞	概念・抽象
がれーじ	Garage	名詞	建築・構造
がれき	Debris	名詞	気象・自然
かれんだー	Calendar	名詞	一般ビジネス
かろりー	Calorie	名詞	身体・解剖
かんさす	Cancer	名詞	天体・宇宙
かんざす	Canvas	名詞	一般IT
かんせぷと	Concept	名詞	一般ビジネス
かんぜんしゅうしょく	Justified	名詞	タイポグラフィ
かんぜんしゅうしょくどめいん	FQDN	名詞	ウェブ・IT用語
かんでら	Candela	名詞	アート手法
かんとりー	Country	名詞	楽器・音楽
がんとれっと	Gauntlet	名詞	装備部位
がんなー	Gunner	名詞	ゲーム用語
かんば	Canva	名詞	ツール・ブランド
かんばん	Kanban	名詞	ウェブ・IT用語
がんま	Gamma	名詞	数・単位
きー	Key	名詞	一般IT
きーびじゅある	Key Visual	名詞	ビジネス
きーふれーむ	Keyframe	名詞	一般IT
きーぼーど	Keyboard	名詞	ゲーム用語
きいろ	Yellow	名詞	色・素材
きーわーど	Keyword	名詞	一般ビジネス
ぎが	Giga	名詞	数・単位
きかいがくしゅう	MachineLearning	名詞	ウェブ・IT用語
ぎがでいん	Giga Thunder	名詞	ゲーム用語
ぎがばいと	GB	名詞	Unity/C#
ぎがへるつ	GHz	名詞	Unity/C#
ぎぐわーく	Gig work	名詞	ビジネス
きしろふぉん	Xylophone	名詞	楽器・音楽
ぎずも	Gizmos	名詞	Unity/C#
ぎたー	Guitar	名詞	楽器・音楽
きっちん	Kitchen	名詞	建築・構造
ぎっと	Git	名詞	Unity/C#
きっとばっしゅ	Kitbash	名詞	レベルデザイン
ぎっとはぶ	GitHub	名詞	Unity/C#
ぎっとはぶあくしょん	GitHub Actions	名詞	制作・運用
ぎっとらぼ	GitLab	名詞	ウェブ・IT用語
きっる	kill	名詞	Unity/C#
きどにー	Kidney	名詞	身体・解剖
きばな	Kibana	名詞	ウェブ・IT用語
ぎふと	Gift	名詞	一般ビジネス
きまいら	Chimera	名詞	ゲーム用語
きゃしゅ	Cache	名詞	一般IT
きゃすと	Cast	名詞	一般ビジネス
きゃっしゅ	Cache	名詞	ウェブ・IT用語
きゃっする	Castle	名詞	建築・構造
きゃっぷ	Cap	名詞	ファッション
きゃにおん	Canyon	名詞	地形・環境
きゃのん	Cannon	名詞	ゲーム用語
きゃぱしてぃ	Capacity	名詞	一般ビジネス
きゃびてぃまっぷ	Cavity Map	名詞	制作・運用
きゃびん	Cabin	名詞	機械・軍事
きゃぷちゃ	Capture	名詞	一般IT
きゃめるけーす	Camel Case	名詞	タイポグラフィ
きゃら	char	名詞	Unity/C#
ぎゃらくしー	Galaxy	名詞	天体・宇宙
きゃらくたー	Character	名詞	一般ビジネス
きゃらくたーでざいん	Character Design	名詞	アート手法
ぎゃらりー	Gallery	名詞	一般ビジネス
きゃりあ	Career	名詞	一般ビジネス
きゃりあ	Carrier	名詞	機械・軍事
きゃりばー	Caliber	名詞	機械・軍事
きゃんせる	Cancel	名詞	一般ビジネス
きゃんばす	Canvas	名詞	色・素材
きゃんぱす	Campus	名詞	一般ビジネス
きゃんぷ	Camp	名詞	建築・構造
きゃんぺーん	Campaign	名詞	一般ビジネス
きゅー	Queue	名詞	一般IT
きゅー	Cue	名詞	一般ビジネス
きゅーあーる	QR	名詞	一般IT
きゅーあーるこーど	QR Code	名詞	IT
きゅーえー	qa	名詞	Unity/C#
きゅーぶ	Cube	名詞	形・幾何学
きゅーぶまっぷ	Cubemap	名詞	制作・運用
きゅーぽら	Cupola	名詞	建築・構造
きゅーれーしょん	Curation	名詞	一般ビジネス
きゅすといんぐ	Casting	名詞	Unity/C#
きらーあぷり	Killer App	名詞	IT
ぎるど	Guild	名詞	ビジネス
ぎるどばとる	Guild Battle	名詞	ゲーム用語
きろ	Kilo	名詞	一般ビジネス
きろばいと	KB	名詞	Unity/C#
くいす	Cuiss	名詞	装備部位
くいんてっと	Quintet	名詞	楽器・音楽
くーばねてぃす	Kubernetes	名詞	ウェブ・IT用語
くーるたいむ	cooltime	名詞	Unity/C#
くーるだうん	Cooldown	名詞	ゲーム用語
ぐーろー	Gouraud	名詞	アート手法
くえいく	Quake	名詞	ゲーム用語
くえーさー	Quasar	名詞	天体・宇宙
くえすちょん	Question	名詞	一般ビジネス
くえすと	quest	名詞	Unity/C#
くえすと	Quest	名詞	ゲーム用語
くえり	query	名詞	Unity/C#
くえり	Query	名詞	一般IT
くえりぱらめーた	QueryParameter	名詞	ウェブ・IT用語
くぉーたにおん	Quaternion	名詞	Unity/C#
くぉーつ	Quartz	名詞	色・素材
くおりてぃ	Quality	名詞	一般ビジネス
くぉんたいず	Quantize	名詞	映像用語
くさい	Xi	名詞	数・単位
くさなぎ	Kusanagi	名詞	ゲーム用語
くじら	Whale	名詞	植物・生物
くっきー	Cookie	名詞	IT
くらいあんと	client	名詞	Unity/C#
くらいあんと	Client	名詞	一般IT
くらうすとるむ	Claustrum	名詞	ゲーム用語
くらうど	cloud	名詞	Unity/C#
くらうど	Cloud	名詞	一般IT
くらうん	Crown	名詞	ゲーム用語
くらしかる	Classical	名詞	一般ビジネス
くらしく	Classic	名詞	楽器・音楽
くらす	Class	名詞	一般IT
くらすたー	Cluster	名詞	IT
くらすたしあん	Crustacean	名詞	植物・生物
ぐらすもふぃずむ	Glassmorphism	名詞	グラフィック・デザイン
くらっしゅ	Crash	名詞	ゲーム用語
ぐらでぃえーたー	Gladiator	名詞	ゲーム用語
ぐらでーしょん	Gradient	名詞	編集用語
ぐらでーしょん	Gradation	名詞	グラフィック・デザイン
ぐらにっと	Granite	名詞	色・素材
ぐらびてぃ	Gravity	名詞	ゲーム用語
くらぶ	Club	名詞	一般ビジネス
ぐらふ	Graph	名詞	Unity/C#
ぐらふぁな	Grafana	名詞	ウェブ・IT用語
ぐらふぃっく	Graphic	名詞	Unity/C#
ぐらふえでぃたー	Graph Editor	名詞	映像用語
ぐらふきゅーえる	GraphQL	名詞	ウェブ・IT用語
くらふと	Crafting	名詞	ゲーム用語
くらふと	Craft	名詞	一般ビジネス
くらふとまんしっぷ	Craftsmanship	名詞	ビジネス
ぐらむ	Gram	名詞	ゲーム用語
くらやみ	Blind	名詞	ゲーム用語
くらりねっと	Clarinet	名詞	楽器・音楽
くらんぷ	Clamp	名詞	Unity/C#
くらんぷぜろわん	Clamp01	名詞	Unity/C#
くりあ	clear	名詞	Unity/C#
くりあ	Clear	名詞	一般ビジネス
くりありてぃ	Clarity	名詞	映像用語
ぐりーゔ	Greave	名詞	装備部位
くりーちゃーでざいん	Creature Design	名詞	アート手法
くりーでぃっと	Credit	名詞	映像用語
くりーにんぐ	Cleaning	名詞	一般ビジネス
くりーむ	Crime	名詞	概念・抽象
くりえいたー	creator	名詞	Unity/C#
くりえいたー	Creator	名詞	一般ビジネス
くりえいてぃぶ	Creative	名詞	一般ビジネス
くりえいてぃぶこもんず	Creative Commons	名詞	映像用語
くりけっと	Cricket	名詞	植物・生物
ぐりざゆ	Grisaille	名詞	グラフィック・デザイン
くりすたる	Crystal	名詞	色・素材
くりっく	Click	名詞	一般IT
ぐりっち	Glitch	名詞	ゲーム用語
ぐりっちあーと	Glitch Art	名詞	アート手法
ぐりっど	Grid	名詞	IT
くりっぴんぐますく	Clipping Mask	名詞	編集用語
くりっぷ	Clip	名詞	一般ビジネス
くりてぃかる	critical	名詞	Unity/C#
くりてぃかる	Critical	名詞	一般ビジネス
くりにっく	Clinic	名詞	建築・構造
くりぷと	Crypto	名詞	ウェブ・IT用語
くりむぞん	Crimson	名詞	色・素材
くるー	Crew	名詞	一般ビジネス
くるーざー	Cruiser	名詞	機械・軍事
ぐれあ	Glare	名詞	色・素材
ぐれいん	Grain	名詞	色・素材
ぐれー	Gray	名詞	色・素材
ぐれーすけーる	Grayscale	名詞	色・素材
ぐれーでーしょん	Gradation	名詞	色・素材
ぐれーとそーど	Greatsword	名詞	ゲーム用語
ぐれーぼっくしんぐ	Grayboxing	名詞	レベルデザイン
くれーん	Crane	名詞	映像用語
くれじっと	Credit	名詞	一般ビジネス
ぐれねーど	Grenade	名詞	機械・軍事
くれりっく	Cleric	名詞	ゲーム用語
くろ	Black	名詞	色・素材
くろー	Claw	名詞	ゲーム用語
ぐろー	Glow	名詞	映像用語
くろーず	Close	名詞	一般ビジネス
くろーずどべーた	Closed Beta	名詞	ゲーム制作・経営
ぐろーすはっく	Growth Hack	名詞	ビジネス
くろーど	Claude	名詞	ウェブ・IT用語
ぐろーばる	Global	名詞	ビジネス
ぐろーばるいるみねーしょん	Global Illumination	名詞	アート手法
ぐろーぶ	Gloves	名詞	ゲーム用語
ぐろーぶ	Grove	名詞	地形・環境
くろーま	Chroma	名詞	色・素材
くろーる	Crawl	名詞	一般IT
くろす	Cross	名詞	Unity/C#
ぐろす	Gloss	名詞	色・素材
くろすぼう	Crossbow	名詞	ゲーム用語
ぐろっけん	Glockenspiel	名詞	楽器・音楽
くろっぷ	Crop	名詞	編集用語
くろまきー	Chroma Key	名詞	映像用語
くろまさぶりんぐ	Chroma Subsampling	名詞	映像用語
くろまてぃっく	Chromatic	名詞	制作・運用
くろみなんす	Chrominance	名詞	映像用語
くろわっさん	Croissant	名詞	素材・料理
ぐんぐにる	Gungnir	名詞	ゲーム用語
けあ	Care	名詞	一般ビジネス
けある	Cure	名詞	ゲーム用語
けあろすくーろ	Chiaroscuro	名詞	グラフィック・デザイン
けいぱびりてぃ	Capability	名詞	ビジネス
げいん	Gain	名詞	映像用語
けーゔ	Cave	名詞	地形・環境
けーき	Cookie	名詞	ウェブ・IT用語
けーす	case	名詞	Unity/C#
けーす	Case	名詞	一般ビジネス
けーたー	Crater	名詞	地形・環境
げーと	Gate	名詞	建築・構造
げーとうぇい	Gateway	名詞	ウェブ・IT用語
げーとうぇいたいむあうと	GatewayTimeout	名詞	ウェブ・IT用語
けーにんぐ	Kerning	名詞	映像用語
けーぱびりてぃ	Capability	名詞	一般ビジネス
けーぴーあい	KPI	名詞	一般ビジネス
けーぷ	Cape	名詞	ゲーム用語
けーぶる	Cable	名詞	一般IT
げーみふぃけーしょん	Gamification	名詞	ビジネス
げーむ	Game	名詞	一般ビジネス
げーむおーばー	gameover	名詞	Unity/C#
げーむおーばー	Game Over	名詞	ゲーム用語
げーむおぶじぇくと	GameObject	名詞	Unity/C#
げーむくりあ	Game Clear	名詞	ゲーム用語
げーむぱっど	Gamepad	名詞	ゲーム用語
げーむばらんす	Game Balance	名詞	ゲーム設計
げーむびゅー	GameView	名詞	Unity/C#
げすと	Guest	名詞	一般ビジネス
げったー	getter	名詞	Unity/C#
げっと	get	名詞	Unity/C#
げっとあくしす	GetAxis	名詞	Unity/C#
げっときー	GetKey	名詞	Unity/C#
げっとこんぽーねんと	GetComponent	名詞	Unity/C#
げっとぼたん	GetButton	名詞	Unity/C#
げのむ	Genome	名詞	身体・解剖
けばぶけーす	Kebab Case	名詞	タイポグラフィ
けりゅびむ	Cherubim	名詞	ゲーム用語
けるべろす	Cerberus	名詞	ゲーム用語
こあ	Core	名詞	一般ビジネス
こあるーぷ	Core Loop	名詞	ゲーム設計
こいん	Coin	名詞	一般ビジネス
こうち	Coach	名詞	一般ビジネス
こうと	Court	名詞	建築・構造
ごーじぇっと	Gorget	名詞	装備部位
こーす	Course	名詞	一般ビジネス
こーすと	Coast	名詞	地形・環境
こーでっく	Codec	名詞	映像用語
こーと	Coat	名詞	ファッション
こーど	Code	名詞	一般IT
こーど	Chord	名詞	一般ビジネス
こーどまねじめんと	CodeManagement	名詞	ウェブ・IT用語
こーどれびゅー	CodeReview	名詞	ウェブ・IT用語
こーぽれーと	Corporate	名詞	一般ビジネス
こーらす	Chorus	名詞	楽器・音楽
こーらる	Coral	名詞	植物・生物
こーる	Call	名詞	一般ビジネス
こーるすたっく	CallStack	名詞	ウェブ・IT用語
ごーるでんれしお	Golden Ratio	名詞	グラフィック・デザイン
ごーるど	Gold	名詞	色・素材
ごーるどあっぷ	Gold	名詞	ゲーム制作・経営
こーるどすりーぷ	Cold Sleep	名詞	ビジネス
こーるばっく	Callback	名詞	ウェブ・IT用語
ごーれむ	Golem	名詞	ゲーム用語
こーん	Cone	名詞	形・幾何学
ごーんとれっと	Gauntlet	名詞	ゲーム用語
ここーぷ	Co-op	名詞	ゲーム用語
こさいん	Cos	名詞	Unity/C#
ごしっく	Gothic	名詞	タイポグラフィ
こすちゅーむ	Costume	名詞	ファッション
こすと	Cost	名詞	一般ビジネス
こすとぱふぉーまんす	Cost Performance	名詞	ビジネス
こずもす	Cosmos	名詞	天体・宇宙
こっくぴっと	Cockpit	名詞	機械・軍事
こっとん	Cotton	名詞	色・素材
こてーじ	Cottage	名詞	建築・構造
こぱいろっと	Copilot	名詞	ウェブ・IT用語
こばると	Cobalt	名詞	色・素材
こぴー	Copy	名詞	一般IT
こぴらいと	Copyright	名詞	制作・運用
ごぶりん	Goblin	名詞	ゲーム用語
ごぶれっと	Goblet	名詞	素材・料理
こまっど	Command	名詞	ウェブ・IT用語
こまんどいんぷっと	Command Input	名詞	ゲーム設計
こみっしょん	Commission	名詞	一般ビジネス
こみっと	Commit	名詞	一般IT
こみっとめんと	Commitment	名詞	ビジネス
こみゅにけーしょん	Communication	名詞	一般ビジネス
こみゅにてぃ	community	名詞	Unity/C#
こみゅにてぃ	Community	名詞	一般ビジネス
こみゅにてぃまねじめんと	Community Management	名詞	制作・運用
こめっと	Comet	名詞	ゲーム用語
こもん	Common	名詞	ゲーム用語
こよーて	Coyote	名詞	植物・生物
こらーじゅ	Collage	名詞	アート手法
こらいだー	Collider	名詞	Unity/C#
こらぼ	Collaboration	名詞	一般ビジネス
こらむ	Column	名詞	一般ビジネス
こりじょん	Collision	名詞	Unity/C#
こりどー	Corridor	名詞	建築・構造
こるーちん	Coroutine	名詞	Unity/C#
ごん	Gong	名詞	楽器・音楽
こんくりーと	Concrete	名詞	色・素材
こんさーと	Concert	名詞	一般ビジネス
こんさる	Consulting	名詞	一般ビジネス
こんしぇるじゅ	Concierge	名詞	ビジネス
こんしゃす	Conscious	名詞	身体・解剖
こんすと	const	名詞	Unity/C#
こんすとらくた	Constructor	名詞	Unity/C#
こんせぷと	Concept	名詞	一般ビジネス
こんせぷとあーと	Concept Art	名詞	ゲーム用語
こんせんさす	Consensus	名詞	一般ビジネス
こんそーる	Console	名詞	Unity/C#
こんぞーる	Console	名詞	一般IT
こんてぃにゅー	continue	名詞	Unity/C#
こんてきすと	Context	名詞	一般IT
こんてすと	Contest	名詞	一般ビジネス
こんてな	Container	名詞	一般IT
こんてんつ	Contents	名詞	一般ビジネス
こんとらすと	Contrast	名詞	色・素材
こんとらばす	Contrabass	名詞	楽器・音楽
こんとろーらー	Controller	名詞	ゲーム用語
こんとろーる	Control	名詞	一般IT
こんばーじょん	Conversion	名詞	ウェブ・IT用語
こんぱいる	Compile	名詞	一般IT
こんぱくと	Compact	名詞	一般ビジネス
こんぴゅーたー	Computer	名詞	一般IT
こんふぃぐ	Config	名詞	一般IT
こんふぃでんしゃる	Confidential	名詞	ビジネス
こんぷらいあんす	Compliance	名詞	一般ビジネス
こんぷりーと	Complete	名詞	一般ビジネス
こんふりくと	Conflict	名詞	一般IT
こんぷりめんたりー	Complementary	名詞	グラフィック・デザイン
こんふるえんす	Confluence	名詞	ウェブ・IT用語
こんぷれっさー	Compressor	名詞	映像用語
こんべんしょん	Convention	名詞	映像用語
こんぼ	combo	名詞	Unity/C#
こんぽーねんと	component	名詞	Unity/C#
こんぽーねんと	Component	名詞	一般IT
こんぽーねんとでーた	ComponentData	名詞	Unity/C#
こんぽーねんとらいぶらり	Component Library	名詞	UI/UX
こんぽじしょん	Composition	名詞	映像用語
こんぼぼっくす	Combo Box	名詞	UI/UX
こんらん	Confuse	名詞	ゲーム用語
ざーいんでっくす	Z-index	名詞	UI/UX
さーきっと	Circuit	名詞	一般IT
さーくる	Circle	名詞	一般ビジネス
さーす	SaaS	名詞	略語
さーずでー	Thursday	名詞	時間・季節
さーち	Search	名詞	一般IT
さーちばー	Search Bar	名詞	UI/UX
さーてぃふぃけーしょん	Certification	名詞	QA・デバッグ
さーてぃふぃけーと	Certificate	名詞	一般IT
さーど	Third	名詞	一般ビジネス
さーどぱーてぃ	Third Party	名詞	ビジネス
さーばー	server	名詞	Unity/C#
さーばー	Server	名詞	一般IT
さーばーえらー	ServerError	名詞	ウェブ・IT用語
